Name;Analys
Замкнутый переулок;"замкнутый 
"
улица Тропинина; тропинина
Айвовая улица;"айвовый 
"
улица гвардии сержанта Шумского; гвардия сержант шумское
Житкурская улица;"житкурская 
"
Озёрная;
Самаркандская улица;"самаркандский 
"
Падунская улица;"падунский 
"
Воздушный переулок;"воздушный 
"
улица гвардии полковника Добрушина; гвардия полковник добрушин
Школьная;
Советская;
60 лет Октября;
Аэрофлотская улица;"аэрофлотский 
"
Киргизская улица;"киргизский 
"
улица XXII Съезда КПСС; xxii съезд кпсс
Тихая улица;"тихий 
"
улица Турусова; турусова
Кавказкая улица;"кавказкий 
"
Бранда 510;
улица им. Базарова; базаров
10-я улица;
улица Нахимова; нахимова
улица № 10;" № 
"
8-я улица;" 
"
Высокая улица;"высокий 
"
"СНТ ""Тюльпан-1"", линия 6";
улица Галилея; галилей
ж/д станция Татьянка;
11 линия;
1-й Промышленный переулок;"промышленный 
"
переулок Лесопитомника;лесопитомник
улица 16;" 
"
Кировская улица;"кировский 
"
улица Маресьева; маресьева
Авангардная улица;"авангардный 
"
Зелёный переулок;"зеленый 
"
улица Заводская 10;" заводской 
"
Придорожный переулок;"придорожный 
"
улица Дежнёва; дежнев
Тираспольская улица;"тираспольский 
"
улица Краснодонцев; краснодонец
Львовская улица;"львовский 
"
улица Степанищева; степанищев
Путиловская улица;"путиловский 
"
Проспект Ленина;ленин
улица Гаря Хохолова; гарь хохолов
улица Лермонтова; лермонтов
Охотская улица;"охотский 
"
Могилёвская улица;"могилевская 
"
улица Курсекова; курсеков
Аграрная улица;"аграрный 
"
Окраинная улица;"окраинный 
"
Сборочная улица;"сборочный 
"
Свободная улица;"свободный 
"
улица Костычева; костычев
улица Талалихина; талалихина
улица Левитана; левитан
улица Расула Гамзатова; расул гамзатова
улица им. Мичурина; мичурина
Платиновая улица;"платиновый 
"
Исетская улица;"исетский 
"
Игарская улица;"игарский 
"
Южно-Украинская улица;"южноукраинский 
"
Северо-Крымская улица;"северокрымский 
"
Добринская улица;"добринский 
"
2-я Лесная улица;"лесной 
"
2-я Виноградная улица;"виноградный 
"
Грушевая улица;"грушевый 
"
"СНТ ""Кировец""";
Алычовая улица;"алычовый 
"
Вишневая улица;"вишневый 
"
Сливовая улица;"сливовый 
"
1-я линия;
2-я линия;
4-я линия;
5-я линия;
6-я линия;
7-я линия;
8-я линия;
9-я линия;
10-я линия;
11-я линия;
12-я линия;
13-линия;
6-я б линия;
14-я линия;
15-я линия;
16-я линия;
17-я линия;
18-я линия;
19-я линия;
18-я Б линия;
18-я В линия;
Летняя улица;"летний 
"
Большая Кольцевая улица;"большой кольцевой 
"
Центральная Аллея улица;"центральный аллея 
"
Радиальная улица;"радиальный 
"
Лазурная улица;"лазурный 
"
Нежная улица;"нежный 
"
Красивая улица;"красивый 
"
Плодовая улица;"плодовый 
"
Музыкальная улица;"музыкальный 
"
улица Романтиков; романтик
Жемчужная улица;"жемчужный 
"
Осенняя улица;"осенний 
"
Листопадная улица;"листопадный 
"
Медовая улица;"медовый 
"
улица им. Рахманинова; рахманинов
улица им. Гайдара; гайдар
Сумская улица;"сумский 
"
улица Филатова; филатова
улица им. Щорса; щорс
Стрелецкий переулок;"стрелецкий 
"
улица им. Сержанта Воронова; сержант воронова
Чирская улица;"чирский 
"
Гаражная улица;"гаражный 
"
20-я линия;
"СНТ ""Восход""";
21-я линия;
22-я линия;
23 а линия;
23-я линия;
улица им. Крылова; крылов
Краснокамская улица;"краснокамский 
"
Гвардейская улица;"гвардейский 
"
улица Воссоединения; воссоединение
Автономная улица;"автономный 
"
Архитектурная улица;"архитектурный 
"
Античная улица;"античный 
"
улица им. Антипова; антипова
Адмиралтейская улица;"адмиралтейский 
"
24-я линия;
25-я линия;
улица им. Покровского 3-й проезд; покровский проезд
26-я линия;
27-я линия;
28-я линия;
29-я линия;
31-я линия;
32-я линия;
"СНТ ""40 лет Октября"", массив 1, квартал 33";
Можжевеловая улица;"можжевеловый 
"
Граничная улица;"граничный 
"
"СНТ ""40 лет Октября"" массив 1, квартал 31";
г. Волгоград на пересечении улица Автомагистральной и 3-ей продольной магистрали;г. волгоград на пересечение  автомагистральный и она продольный магистраль
"СНТ ""40 лет Октября"", массив 2, квартал 1";
"СНТ ""40 лет Октября"", массив 2, квартал 4";
"СНТ ""40 лет Октября"", массив 2, квартал 3";
"СНТ ""40 лет Октября"", массив 2, квартал 2";
Краснофлотская улица;"краснофлотский 
"
улица им. Ульянова; ульянов
улица Крейсера Варяг; крейсер варяг
улица им. Сеченова; сеченова
улица Лейтенанта Дороша; лейтенант дорош
улица 1-й Конной Армии; конный армия
улица им. Сорокина; сорокина
Аэродромная улица;"аэродромный 
"
улица им. лейтенанта Дороша; лейтенант дорош
Планерная улица;"планерный 
"
Геническая улица;"генический 
"
Просторная улица;"просторный 
"
улица им. Белинского; белинский
улица им. Чайковского; чайковский
переулок им. Лермонтова;лермонтов
Баргузинская улица;"баргузинский 
"
2-я Лесогорская улица;"лесогорский 
"
бульвар 30 летия Победы;летие победа
Техническая улица;"технический 
"
Транспортный переулок;"транспортный 
"
улица Обороны Ленинграда; оборона ленинград
улица Обороны Одессы; оборона одесса
Снайперская улица;"снайперский 
"
Стрелковая улица;"стрелковый 
"
Касимовская улица;"касимовский 
"
Малая (Краснооктябрьский р-н) улица;"малый (краснооктябрьский рн) 
"
Малый переулок;"малый 
"
2-я Малая улица;"малый 
"
Затонский переулок;"затонский 
"
Пересечение улица Кубинской и улица 2-й Горной;пересечение  кубинский и  горный
улица Обороны Севастополя; оборона севастополь
Волочаевская улица;"волочаевский 
"
Волочаевский переулок;"волочаевский 
"
2-я Волочаевская улица;"волочаевский 
"
Мамаевский переулок;"мамаевский 
"
2-я улица им. Лермонтова; лермонтов
Мамаевская улица;"мамаевская 
"
Сызранская улица;"сызранский 
"
улица им. Ушинского; ушинский
улица Рутковского; рутковский
улица им. Нестерова; нестерова
1-й переулок им. Репина;репин
2-й переулок им. Репина;репин
улица им. Айвазовского; айвазовский
улица им. Семашко; семашко
Уссурийская улица;"уссурийский 
"
Сочинская улица;"сочинский 
"
Короткая (Краснооктябрьский р-н) улица;"короткий (краснооктябрьский рн) 
"
Белебейская улица;"белебейский 
"
улица Айвазовского; айвазовский
улица Щаденко; щаденко
В планировочном квартале 614;
Пересечение пр-кта Металлургов и улица им. маршала Еременко;пересечение пркт металлург и  маршал еременко
Пересечение улица Богунской и улица им. маршала Еременко;пересечение  богунский и  маршал еременко
Пересечение пр-кта Металлургов и улица им. Кузнецова;пересечение пркт металлург и  кузнецов
улица им. Ольги Ковалёвой; ольга ковалева
4-я Заводская улица;" заводской 
"
улица Радистов; радист
Хвалынская улица;"хвалынский 
"
Хвалынский переулок;"хвалынский 
"
Прожекторный переулок;"прожекторный 
"
Брестский переулок;"брестский 
"
Восьмая улица;"восьмой 
"
Каневская улица;"каневский 
"
аллея Фонтанов;
переулок Алишера Навои;алишер навои
Рижская улица;"рижский 
"
улица  им. Дзержинского;  дзержинский
Проезжая улица;"проезжать 
"
Узорная улица;"узорный 
"
Любимая улица;"любимый 
"
Богатырская улица;"богатырский 
"
Лунная улица;"лунный 
"
Внешняя улица;"внешний 
"
Бодрая улица;"бодрый 
"
Звонкая улица;"звонкий 
"
Амурская улица;"амурский 
"
Волнистая улица;"волнистый 
"
Тбилисский переулок;"тбилисский 
"
переулок имени Коневского;коневский
Восьмой переулок;"восьмой 
"
Девятая улица;"девятый 
"
улица Демченко; демченко
улица Теплова; теплов
улица Кожанова; кожанова
улица Трыханкина; трыханкин
Солдатская улица;"солдатский 
"
Сердобская улица;"сердобский 
"
Канальный переулок;"канальный 
"
Полетаевская улица;"полетаевский 
"
Светлоградская улица;"светлоградский 
"
Уфимская улица;"уфимский 
"
Ергенинская улица;"ергенинский 
"
Благодатная улица;"благодатный 
"
Вознесенская улица;"вознесенский 
"
Чесменская улица;"чесменский 
"
улица им. Олега Кошевого; олег кошевой
улица им. Ульяны Громовой; ульяна громовой
улица Связистов; связист
Кунгурская улица;"кунгурский 
"
Северодвинская улица;"северодвинский 
"
Шуйская улица;"шуйский 
"
Тарханская улица;"тарханский 
"
Сходненская улица;"сходненский 
"
Нижневартовская улица;"нижневартовский 
"
улица Рублёва; рублев
Каргопольская улица;"каргопольский 
"
Богуйская улица;"богуйский 
"
улица Зелёная зона; зеленый зона
улица им. Димитрова; димитров
Новошахтинская улица;"новошахтинский 
"
Сталеварная улица;"сталеварный 
"
Докторская улица;"докторский 
"
Землемерная улица;"землемерный 
"
Шофёрская улица;"шоферский 
"
Учительская улица;"учительская 
"
Спокойный переулок;"спокойный 
"
Медведицкая улица;"медведицкий 
"
улица Вишневского; вишневский
Купавинская улица;"купавинский 
"
Тирольская улица;"тирольский 
"
Калиновская улица;"калиновский 
"
улица Паши Ангелиной; паша ангелина
улица Щукина; щукина
Географическая улица;"географический 
"
улица Николая Ильина; николай ильина
улица Дышлового; дышловой
улица Хазова; хазов
улица Коперника; коперник
улица Лейтенанта Шмидта; лейтенант шмидт
улица Шапошникова; шапошников
Туапсинская улица;"туапсинский 
"
улица Снайпера Чехова; снайпер чехов
Армейская улица;"армейский 
"
улица Берзарина; берзарина
Баскунчакская улица;"баскунчакский 
"
Бухарская улица;"бухарский 
"
улица Вычугова; вычугова
улица Салуткина; салуткин
Областная улица;"областной 
"
Моторный переулок;"моторный 
"
Железнодорожный переулок;"железнодорожный 
"
улица Коцюбинского; коцюбинский
улица Брюсова; брюсов
улица имени Софьи Перовской; софья перовская
Оскольская улица;"оскольский 
"
Часовой переулок;"часовой 
"
Сапёрная улица;"саперный 
"
Новослободский переулок;"новослободский 
"
Кроткая улица;"кроткий 
"
Красная улица;"красный 
"
Нахичеванская улица,;
Мозырьская улица;"мозырьский 
"
Малоярославецкая улица;"малоярославецкий 
"
Холмистая улица;"холмистый 
"
Кристальная улица;"кристальный 
"
Песочная улица;"песочный 
"
проезд Механизаторов;
Тихий переулок;"тихий 
"
Каратальская улица;"каратальский 
"
Тру;
Тракторная улица;"тракторный 
"
Речной переулок;"речной 
"
Старательская улица;"старательский 
"
Кондукторская улица;"кондукторский 
"
Палехская улица;"палехский 
"
улица Лебедева-Кумача; лебедевакумач
Крутой проезд;
Мечетинская улица;"мечетинский 
"
улица Щепкина; щепкин
улица Савиной; савина
Оросительный переулок;"оросительный 
"
Памирский переулок;"памирский 
"
переулок Красина;красин
улица Бакунина; бакунин
Муромская улица;"муромский 
"
улица Боткина; боткин
улица Зои Космодемьянской; зоя космодемьянский
улица Михаила Хвастанцева; михаил хвастанцев
улица Заславского; заславский
улица Тютчева; тютчев
Кизлярская улица;"кизлярский 
"
Шатурская улица;"шатурский 
"
Водопадная улица;"водопадный 
"
Вязниковский переулок;"вязниковский 
"
Алюминевая улица;"алюминевый 
"
Свободный переулок;"свободный 
"
улица Набережная; набережная
36-я улица;" 
"
35-я улица;" 
"
42-я улица;
43-я улица;
40-я улица;
38-я улица;" 
"
37-я улица;" 
"
улица Надежды Крупской; надежда крупская
33-я улица;
32-я улица;
31-я улица;
30-я улица;
29-я улица;
28-я улица;" 
"
27-я улица;" 
"
26-я улица;" 
"
39-я улица;
Дарасунская улица;"дарасунский 
"
Североосетинская улица;"североосетинский 
"
Кабардино-Балкарская улица;"кабардинобалкарский 
"
улица Чекистов; чекист
Валуйская улица;"валуйский 
"
Лесозащитная улица;"лесозащитный 
"
Горьковская улица;"горьковский 
"
Симеизская улица;"симеизский 
"
Плотницкая улица;"плотницкий 
"
Сторожевая улица;"сторожевой 
"
улица Котельникова; котельников
улица Ивана Антонова; иван антонова
Технологический переулок;"технологический 
"
Узловая улица;"узловой 
"
Типографская улица;"типографский 
"
улица Бехтерева; бехтерев
улица Бурмакова; бурмаков
улица Композитора Прокофьева; композитор прокофьев
улица Дружбы Народов; дружба народ
улица Сенявина; сенявина
Ярцевская улица;"ярцевский 
"
улица Туристов; турист
Мценская улица;"мценский 
"
Индустриальный переулок;"индустриальный 
"
Электрогорская улица;"электрогорский 
"
Буровая улица;"буровой 
"
улица Юрия Смирнова; юрий смирнов
Навигационная улица;"навигационный 
"
переулок Юрия Смирнова;юрий смирнов
улица им. Сергея Лазо; сергей лазо
Художественная улица;"художественный 
"
Товарищеская улица;"товарищеский 
"
Суздальская улица;"суздальский 
"
Новаторская улица;"новаторский 
"
Таганская улица;"таганский 
"
Железноводская улица;"железноводский 
"
Лубянская улица;"лубянский 
"
Архангельская улица;"архангельский 
"
улица Руднева; руднев
Заполярная улица;"заполярный 
"
Навигационный переулок;"навигационный 
"
улица Шаляпина; шаляпин
Монтажный переулок;"монтажный 
"
Чугунолитейный переулок;"чугунолитейный 
"
Чепурниковский переулок;"чепурниковский 
"
Ягодный переулок;"ягодный 
"
улица Плещеева; плещеев
Спокойная улица;"спокойный 
"
улица Богдана Хмельницкого; богдан хмельницкий
улица Помяловского; помяловский
улица Заболотного; заболотный
Великолукская улица;"великолукский 
"
Закарпатская улица;"закарпатский 
"
Татищевская улица;"татищевский 
"
Дивногорская улица;"дивногорский 
"
Моршанская улица;"моршанский 
"
Днепростроевская улица;"днепростроевский 
"
2-й Охотничий переулок;"охотничий 
"
3-й Охотничий переулок;"охотничий 
"
Араратский переулок;"араратский 
"
Араратская улица;"араратский 
"
Подмосковная улица;"подмосковный 
"
Береславская улица;"береславский 
"
Водораздельная улица;"водораздельный 
"
1-й Охотничий переулок;"охотничий 
"
2-я Спортивная улица;"спортивный 
"
1-я Спортивная улица;"спортивный 
"
Житомирская улица;"житомирская 
"
Винницкая улица;"винницкая 
"
Луговой переулок;"луговой 
"
Рабочий переулок;"рабочий 
"
Гурзуфская улица;"гурзуфский 
"
Гурзуфский переулок;"гурзуфский 
"
улица Провещения; провещение
Дрогобыченская улица;"дрогобыченский 
"
Якутская улица;"якутский 
"
Сухумская улица;"сухумский 
"
Лётная улица;"летный 
"
2-й Лётный переулок;"летный 
"
1-й Лётный переулок;"летный 
"
Физкультурная улица;"физкультурный 
"
3-я Ельшанская улица;"ельшанский 
"
Горно-Алтайская улица;"горнолтайский 
"
Сухумский переулок;"сухумский 
"
Чугуевская улица;"чугуевский 
"
Чистяковская улица;"чистяковский 
"
Ивановская улица;"ивановский 
"
Пинская улица;"пинский 
"
Рогачёвская улица;"рогачевский 
"
Кабардинский переулок;"кабардинский 
"
Винницкий переулок;"винницкий 
"
улица 26 Бакинских Комиссаров;  бакинский комиссар
Оршанский переулок;"оршанский 
"
Трудовой переулок;"трудовой 
"
Гражданский переулок;"гражданский 
"
3-й Лётный переулок;"летный 
"
Городская улица;"городской 
"
1-й Манежный переулок;"манежный 
"
2-й Манежный переулок;"манежный 
"
3-й Манежный переулок;"манежный 
"
4-й Манежный переулок;" манежный 
"
4-й Лётный переулок;" летный 
"
Былинная улица;"былинный 
"
Выборгская улица;"выборгский 
"
Таёжная улица;"таежный 
"
Гудовская улица;"гудовский 
"
улица Николая Кибальчича; николай кибальчич
Невинномысская улица;"невинномысский 
"
Зональная улица;"зональный 
"
улица Мичурин Сад; мичурин сад
Капитанская улица;"капитанский 
"
Новинская улица;"новинский 
"
Вогульский переулок;"вогульский 
"
улица Владимира Петровского; владимир петровский
Кольская улица;"кольский 
"
улица Братьев Игнатовых; брат игнатов
Морозовская улица;"морозовский 
"
Вёшенская улица;"вешенская 
"
переулок Руднева;руднев
Верхоянский переулок;"верхоянский 
"
Кустанайская улица;"кустанайский 
"
Столбовая улица;"столбовой 
"
3-й Былинный переулок;"былинный 
"
Телефонная улица;"телефонный 
"
Анадырская улица;"анадырский 
"
Районная улица;"районный 
"
Дебальцевская улица;"дебальцевский 
"
Долинная улица;"долинный 
"
Апшеронская улица;"апшеронский 
"
Русская улица;"русский 
"
Лужниковская улица;"лужниковский 
"
Прилукская улица;"прилукский 
"
1-й Былинный переулок;"былинный 
"
Черниговский переулок;"черниговский 
"
Москворецкая улица;"москворецкий 
"
Красногородская улица;"красногородский 
"
Славгородская улица;"славгородский 
"
Новосокольническая улица;"новосокольнический 
"
Новоустюжский переулок;"новоустюжский 
"
Соликамская улица;"соликамский 
"
Подъёмная улица;"подъемный 
"
переулок Академика Палладина;академик палладина
улица Перова; перова
улица Поленова; поленов
улица Васнецова; васнецова
улица Паленова; паленова
Качалинский переулок;"качалинский 
"
улица Демьянова; демьянова
улица Тищенко; тищенко
Нижнеамурская улица;"нижнеамурский 
"
Оборонная улица;"оборонный 
"
улица Александра Матросова; александра матросова
улица Сергея Тюленина; сергей тюленин
1-й Еланский переулок;"еланский 
"
2-й Еланский переулок;"еланский 
"
Тунгусская улица;"тунгусский 
"
улица Военный городок-22; военный городок
улица Тукая; тукать
Мартовская улица;"мартовский 
"
Пятницкая улица;"пятницкая 
"
улица Зворыкина; зворыкин
Челябинская улица;"челябинский 
"
Можайская улица;"можайский 
"
Колодезная улица;"колодезный 
"
Нижнеамурский переулок;"нижнеамурский 
"
Сормовская улица;"сормовский 
"
Слуцкая улица;"слуцкая 
"
улица Ермоловой; ермолова
улица Тунгусский Овраг; тунгусский овраг
Басаргинская улица;"басаргинский 
"
Лихая улица;"лихой 
"
улица Будённого; буденный
Бирюзовый переулок;"бирюзовый 
"
Путейская улица;"путейский 
"
улица Верещагина; верещагин
Карело-Финская улица;"карелофинский 
"
улица Скрябина; скрябин
улица Бородина; бородина
Ейская улица;"ейский 
"
Темрюкская улица;"темрюкский 
"
улица Чигорина; чигорина
Старобельская улица;"старобельский 
"
Горловская улица;"горловский 
"
улица Абрамшвили; абрамшвили
Артекская улица;"артекский 
"
улица Кожевникова; кожевников
Беломорская улица;"беломорский 
"
улица Котовского; котовский
Демидовская улица;"демидовский 
"
Горная улица;"горный 
"
улица Лебединского; лебединский
Шепетовская улица;"шепетовский 
"
Силикатная улица;"силикатный 
"
Тернопольская улица;"тернопольский 
"
улица Захарова; захаров
улица Хмелёва; хмелев
Кандалакшский переулок;"кандалакшский 
"
Нарезенская улица;"нарезенский 
"
Василеостровский переулок;"василеостровский 
"
Прокопьевская улица;"прокопьевский 
"
улица Макарчука; макарчук
улица Звездина; звездина
Красноярская улица;"красноярский 
"
Совнаркомовская улица;"совнаркомовский 
"
Антарктидская улица;"антарктидский 
"
улица Композитора Алябьева; композитор алябьева
Магаданская улица;"магаданский 
"
Кузбасская улица;"кузбасский 
"
Героическая улица;"героический 
"
Абоянская улица;"абоянский 
"
улица Каляева; каляев
Хибинский переулок;"хибинский 
"
Хибинская улица;"хибинский 
"
Транспортная улица;"транспортный 
"
Дубравная улица;"дубравный 
"
Ямская улица;"ямский 
"
улица Харламова; харламова
Газонный переулок;"газонный 
"
Боровая улица;"боровой 
"
Горский переулок;"горский 
"
улица Алых Роз; алый роза
Липовая улица;"липовый 
"
Павелецкая улица;"павелецкий 
"
улица Любови Шевцовой; любовь шевцова
улица Ивана Земнухова; иван земнуховый
Сахалинская улица;"сахалинский 
"
Мостовой проезд;
Камчатская улица;"камчатский 
"
Колымская улица;"колымский 
"
Камчатский переулок;"камчатский 
"
переулок Ивана Земнухова;иван земнуховый
Сахалинский переулок;"сахалинский 
"
Лугопольская улица;"лугопольский 
"
"СНТ ""40 лет Октября"", массив 3";
Бударинская улица;"бударинский 
"
Филоновская улица;"филоновский 
"
улица Кравченко; кравченко
улица Афанасия Ермакова; афанасий ермаков
проспект Энтузиастов;энтузиаст
"СНТ ""Транспортник"", ярус 1";
Тибетский проезд;
Бузулукский проезд;
улица Бурденко; бурденко
Городнянская улица;"городнянский 
"
улица Вавилова; вавилов
улица имени Петрова; петров
Заветная улица;"заветный 
"
Солнечногорская улица;"солнечногорский 
"
Стародубская улица;"стародубская 
"
"СНТ ""Транспортник"", ярус 2";
"СНТ ""Транспортник"", ярус 3";
23-я улица;
22-я улица;
21-я улица;
20-я улица;
19-я улица;
18-я улица;" 
"
17-я улица;" 
"
16-я улица;" 
"
15-я улица;" 
"
14-я улица;" 
"
"СНТ ""Транспортник""";
переулок Сергея Тюленина;сергей тюленин
"СНТ ""Монолит"", квартал 1";
"СНТ "" Тюльпан-1"", линия 9";
"СНТ "" Тюльпан-1"", линия 8";
"СНТ "" Тюльпан-1"", линия 7";
"СНТ "" Тюльпан-1"", линия 1";
Ельшанская улица, 77;
"СНТ ""Тюльпан-1"", линия 1";
11-я улица;
7-я улица;" 
"
6-я улица;" 
"
5-я улица;" 
"
4-я улица;" 
"
3-я улица;
2-я улица;
1-я улица;
12-я улица;
улица 13-я;" 
"
улица 14-я;" 
"
улица 15-я;" 
"
улица 18-я;" 
"
улица 19-я;" 
"
улица 20-я;" 
"
улица 21-я;" 
"
улица Новая Пашня; новый пашня
2-я Круговая улица;"круговой 
"
улица 11-я;" 
"
улица 3-я;" 
"
улица 2-я;" 
"
улица 1-я;" 
"
улица 4;" 
"
улица 5;" 
"
улица 6;" 
"
улица 7;" 
"
улица 9;" 
"
улица 11;" 
"
улица 13;" 
"
улица 12;" 
"
улица 8;" 
"
улица 14;" 
"
улица 31-я;" 
"
улица 17;" 
"
улица 18;" 
"
улица 19;" 
"
улица 20;" 
"
Бронзовый переулок;"бронзовый 
"
Мичуринская улица;"мичуринский 
"
Яндыковская улица;"яндыковский 
"
Цитрусовая улица;"цитрусовый 
"
Калиновая улица;"калиновый 
"
Жуковская улица;"жуковская 
"
улица Симиренко; симиренко
улица 4-я;" 
"
Таджикская улица;"таджикский 
"
2-я Консервная улица;"консервный 
"
Казанская улица;"казанский 
"
Дагестанская улица;"дагестанский 
"
"СНТ ""Тюльпан-1"", линия 3";
Конотопская улица;"конотопский 
"
Унжинская улица;"унжинский 
"
Ногинская улица;"ногинский 
"
Квартальный переулок;"квартальный 
"
Костромской переулок;"костромской 
"
Смольная улица;"смольный 
"
Алма-Атинская улица;"алматинский 
"
Приволжская улица;"приволжский 
"
Мандариновая улица;"мандариновый 
"
Крыжовниковая улица;"крыжовниковый 
"
Смородиновая улица;"смородиновый 
"
Рыбинский переулок;"рыбинский 
"
Быковский переулок;"быковский 
"
Березовская улица;"березовская 
"
Лимонная улица;"лимонный 
"
Черничная улица;"черничный 
"
Земляничная улица;"земляничный 
"
Финиковая улица;"финиковый 
"
Красноводская улица;"красноводский 
"
Клюквенная улица;"клюквенный 
"
Тутовниковая улица;"тутовниковый 
"
Базисная улица;"базисный 
"
Ойротская улица;"ойротский 
"
Белорусская улица;"белорусский 
"
Линёвская улица;"линевская 
"
Облепиховая улица;"облепиховый 
"
улица Собинова; собинова
Прилинейная улица;"прилинейный 
"
Водокачная улица;"водокачный 
"
улица Ананасная; ананасный
улица Метеор; метеор
Родиковая улица;"родиковый 
"
улица Отдыха; отдых
улица Здоровья; здоровье
Шестьдесят Вторая улица;"шестьдесят второй 
"
Шестьдесят Первая улица;"шестьдесят первый 
"
Шестидесятая улица;"шестидесятый 
"
Пятьдесят Девятая улица;"пятьдесят девятый 
"
Пятьдесят Восьмая улица;"пятьдесят восьмой 
"
Пятьдесят Вторая улица;"пятьдесят второй 
"
Пятьдесят Первая улица;"пятьдесят первый 
"
улица 53-я;" 
"
улица 54-я;" 
"
улица 55-я;" 
"
улица 56-я;" 
"
улица 63-я;" 
"
Шестьдесят Третья улица;"шестьдесят третий 
"
улица 57-я;" 
"
Смежная улица;"смежный 
"
2 массив;
3 массив;
1 массив;
улица 1 массив; массив
улица Просвещение; просвещение
Двадцать Восьмая улица;"двадцать восьмой 
"
Двадцать Седьмая улица;"двадцать седьмой 
"
Двадцать Пятая улица;"двадцать пятый 
"
Двадцать Вторая улица;"двадцать второй 
"
Двадцать Первая улица;"двадцать первый 
"
Двадцать Шестая улица;"двадцать шестой 
"
улица 34-я;" 
"
Двадцать Девятая улица;"двадцать девятый 
"
Тридцать Шестая улица;"тридцать шестой 
"
Двадцать Четвёртая улица;"двадцать четвертый 
"
Сорок Первая улица;"сорок первый 
"
Двадцатая улица;"двадцатый 
"
Девятнадцатая улица;"девятнадцатый 
"
Восемнадцатая улица;"восемнадцатый 
"
улица 17-я;" 
"
Пятидесятая улица;"пятидесятый 
"
Шестнадцатая улица;"шестнадцатый 
"
Четырнадцатая улица;"четырнадцатый 
"
Тринадцатая улица;"тринадцатый 
"
Двенадцатая улица;"двенадцатый 
"
Одиннадцатая улица;"одиннадцатый 
"
Керченская улица;"керченский 
"
улица 25-я Линия;  линия
улица 26-я Линия;  линия
улица 27-я Линия;  линия
улица 28-я Линия;  линия
улица 29-я Линия; линия
улица 18-я Линия;  линия
улица 17-я Линия;  линия
улица 16-я Линия;  линия
улица 15-я Линия;  линия
улица 14-я Линия;  линия
улица 13-я Линия; линия
улица 12-я Линия; линия
улица 11-я Линия; линия
улица 10-я Линия; линия
улица 9-я Линия; линия
улица 8-я Линия;  линия
улица 7-я Линия;  линия
улица 6-я Линия;  линия
улица 5-я Линия;  линия
улица 4-я Линия;  линия
улица 3-я Линия; линия
улица 2-я Линия; линия
Центральная-Апельсиновая улица;"центральнаяпельсиновый 
"
улица 1;" 
"
улица 2;" 
"
улица 3;" 
"
Чистопольская улица;"чистопольский 
"
Валдайская улица;"валдайский 
"
Доменная улица;"доменный 
"
Прикарпатская улица;"прикарпатский 
"
Дуганская улица;"дуганский 
"
Новочеркасская улица;"новочеркасский 
"
улица Смычки; смычок
Каральская улица;"каральский 
"
Крутоовражная улица;"крутоовражный 
"
Погроменская улица;"погроменский 
"
Батайская улица;"батайский 
"
Адыгейская улица;"адыгейский 
"
улица Юрия Долгорукова; юрий долгоруков
улица Юрия Долгорукого; юрий долгорукий
Ченстоховский переулок;"ченстоховский 
"
13-я улица;
Знаменский переулок;"знаменский 
"
Молодёжный переулок;"молодежный 
"
Приовражная улица;"приовражный 
"
Запрудная улица;"запрудный 
"
"улица 1""А""";" ""а""
"
"1""А"" улица";"""а"" 
"
Институтская улица;"институтский 
"
Калмыцкая улица;"калмыцкий 
"
улица Новостроек; новостройка
Тенистая улица;"тенистый 
"
Грузовая улица;"грузовой 
"
улица Приовражная (квартал Волта);" приовражный (квартал волта)
"
улица Центральная (квартал Волта);" центральный (квартал волта)
"
Чинаковская улица;"чинаковский 
"
Уржумская улица;"уржумский 
"
Стрелецкая улица;"стрелецкий 
"
Ратная улица;"ратный 
"
улица Немировича-Данченко; немировичаданченко
улица Садовского; садовский
улица Константина Заслонова; константин заслонова
Грановитая улица;"грановитый 
"
Азербайджанская улица;"азербайджанский 
"
Иловайская улица;"иловайский 
"
улица 70-летия Победы; летие победа
улица Лейтенанта Токарева; лейтенант токарева
улица Боровского; боровской
улица Сафонова; сафонова
улица Малыгина; малыгин
Изумрудная улица;"изумрудный 
"
Заповедная улица;"заповедный 
"
улица Семёнова-Тян-Шанского; семеноватяншанский
улица им. Михайлова; михайлов
улица Чулкова; чулков
Гайворонский переулок;"гайворонский 
"
улица Галицына; галицын
улица Адама Мицкевича; адам мицкевич
улица Саврасова; саврасова
улица Карпинского; карпинский
улица Река Пионерка; река пионерка
Херсонская улица;"херсонский 
"
Новопреображенская улица;"новопреображенский 
"
Александрийская улица;"александрийский 
"
улица Полковника Климчука; полковник климчук
улица Бадальяна; бадальян
улица Рыжкова; рыжков
улица Рыкова; рыков
улица Надежды; надежда
Светлая улица;"светлый 
"
улица 36-й Гвардейской;  гвардейский
Педагогическая улица;"педагогический 
"
Сельскохозяйственная улица;"сельскохозяйственный 
"
Сорочинская улица;"сорочинский 
"
Волгоградский переулок;"волгоградский 
"
Крутенькая улица;"крутенький 
"
Старовознесенская улица;"старовознесенский 
"
Спасская улица;"спасский 
"
"СНТ ""Север"", квартал 1а";
"СНТ ""Север"", квартал 1";
"СНТ ""Север"", квартал 1А";
"СНТ ""Север"", квартал 11";
"СНТ ""Север"", квартал 10";
"СНТ ""Север"", квартал 9";
"СНТ ""Север"", квартал 2";
"СНТ ""Север"", квартал 3";
